timestamp,site,email,status,result
2026-02-20T04:16:32,PropertyPro Nigeria,customercare@propertypro.ng,email_found,sent
2026-02-20T04:16:34,Nairaland Real Estate Forum,admin@nairaland.com,pending,sent
2026-02-20T04:16:36,Living in Nigeria,contact@livinginnigeria.com,pending,sent
2026-02-20T04:16:38,UrbanSplatter Nigeria,contact@urbansplatter.com,pending,sent
2026-02-20T04:16:40,Nairametrics,outreach@nairametrics.com,email_found,sent
2026-02-20T04:16:43,Thisdaylive,hello@thisdaylive.com,email_found,sent
2026-02-20T04:16:46,Techpoint Africa,business@techpoint.africa,email_found,sent
2026-02-20T04:16:49,TechCabal,editor@techcabal.com,email_found,sent
2026-02-20T04:16:51,Estate Mate,hassan@haashes.com,pending,sent
2026-02-20T04:16:52,Ron Parpara Real Estate,editor.ronparpara@gmail.com,pending,sent
2026-02-20T04:26:57,Nicolai Real Estate,netherlandsmark@proton.me,pending,sent
2026-02-20T04:26:59,Developer Gang (Real Estate),developergaang1@gmail.com,pending,sent
2026-02-20T04:27:01,HousingWire,contributor@housingwire.com,pending,sent
2026-02-20T04:27:03,Guardian Nigeria Property,contact@guardian.ng,outreach_sent,sent
2026-02-20T04:27:05,Punch NG Real Estate,punchng@punchng.com,outreach_sent,sent
2026-02-20T04:27:07,Vanguard Real Estate,citizenreport@vanguardngr.com,outreach_sent,sent
2026-02-20T04:27:08,Tribune Property,onlineeditor@tribuneonlineng.com,outreach_sent,sent
2026-02-20T04:27:10,Property Insider (NG),info@propertyinsider.com.ng,outreach_sent,sent
2026-02-20T04:27:13,Legit.ng Business/Real Estate,editorial@legit.ng,outreach_sent,sent
2026-02-20T04:27:15,TechEconomy Real Estate,editor@techeconomy.ng,outreach_sent,sent
2026-02-20T04:37:20,BusinessDay Property,chukaurok_o@businessday.ng,outreach_sent,sent
2026-02-20T04:37:23,Blueprint.ng Property,editorial@blueprint.ng,outreach_sent,sent
2026-02-20T04:37:25,TheCable Real Estate,news@thecable.ng,outreach_sent,sent
2026-02-20T04:37:28,Estate Mate,hassan@haashes.com,outreach_sent,sent
2026-02-20T04:37:30,Ron Parpara Real Estate,editor.ronparpara@gmail.com,outreach_sent,sent
2026-02-20T04:37:33,Nicolai Real Estate,netherlandsmark@proton.me,outreach_sent,sent
2026-02-20T04:37:35,Developer Gang Real Estate,developergaang1@gmail.com,outreach_sent,sent
2026-02-20T04:37:37,Spacebring,blog@spacebring.com,outreach_sent,sent
2026-02-20T04:37:39,HousingWire,contributor@housingwire.com,outreach_sent,sent
2026-02-20T04:37:41,Nigeria Business Pro,editor@nigeriabusinesspro.com,outreach_sent,sent
2026-02-20T05:05:10,PropertyPro Nigeria,customercare@propertypro.ng,email_found,sent
2026-02-20T05:05:12,Nairaland Real Estate Forum,admin@nairaland.com,pending,sent
2026-02-20T05:05:15,Living in Nigeria,contact@livinginnigeria.com,pending,sent
2026-02-20T05:05:18,UrbanSplatter Nigeria,contact@urbansplatter.com,pending,sent
2026-02-20T05:05:21,Nairametrics,outreach@nairametrics.com,email_found,sent
2026-02-20T05:05:23,Thisdaylive,hello@thisdaylive.com,email_found,sent
2026-02-20T05:05:26,Techpoint Africa,business@techpoint.africa,email_found,sent
2026-02-20T05:05:29,TechCabal,editor@techcabal.com,email_found,sent
2026-02-20T05:05:31,Estate Mate,hassan@haashes.com,pending,sent
2026-02-20T05:05:34,Ron Parpara Real Estate,editor.ronparpara@gmail.com,pending,sent
